こんでろーん,-1,-1,10,名詞,*,*,*,*,*,こんでろーん,コンデローン,コンデローン
おつでろーん,-1,-1,10,名詞,*,*,*,*,*,おつでろーん,オツデローン,オツデローン
でろーん,-1,-1,10,名詞,*,*,*,*,*,でろーん,デローン,デローン
緑仙,-1,-1,10,名詞,*,*,*,*,*,緑仙,リュウシェン,リュウシェン
チャイカ,-1,-1,10,名詞,*,*,*,*,*,チャイカ,チャイカ,チャイカ
しょこ,-1,-1,10,名詞,*,*,*,*,*,しょこ,ショコ,ショコ
夢追,-1,-1,10,名詞,*,*,*,*,*,夢追,ユメオイ,ユメオイ
ロア,-1,-1,10,名詞,*,*,*,*,*,ロア,ロア,ロア
白雪,-1,-1,10,名詞,*,*,*,*,*,白雪,シラユキ,シラユキ
ギバラ,-1,-1,10,名詞,*,*,*,*,*,ギバラ,ギバラ,ギバラ
ユードリック,-1,-1,10,名詞,*,*,*,*,*,ユードリック,ユードリック,ユードリック
ギル様,-1,-1,10,名詞,*,*,*,*,*,ギル様,ギルサマ,ギルサマ
ギルザレン,-1,-1,10,名詞,*,*,*,*,*,ギルザレン,ギルザレン,ギルザレン
タピる,-1,-1,10,名詞,*,*,*,*,*,タピる,タピル,タピル
スパチャ,-1,-1,10,名詞,*,*,*,*,*,スパチャ,スパチャ,スパチャ
まひまひ,-1,-1,10,名詞,*,*,*,*,*,まひまひ,マヒマヒ,マヒマヒ
でびちゃん,-1,-1,10,名詞,*,*,*,*,*,でびちゃん,デビチャン,デビチャン
かなかな,-1,-1,10,名詞,*,*,*,*,*,かなかな,カナカナ,カナカナ
新衣装,-1,-1,10,名詞,*,*,*,*,*,新衣装,シンイショウ,シンイショウ
